question_number,question,correct_answer,source_folder,ai_answer_20260725_005651,ai_answer_20260725_011226,ai_answer_20260725_120724,ai_answer_20260725_132248,ai_answer_20260725_132835
36,"Theo tài liệu Public_035, điều gì xảy ra nếu learning rate quá nhỏ?",C,train_fix,C,C,C,C,C
37,Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,A,train_fix,A,A,A,A,A
38,"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)",C,train_fix,C,C,A,A,A
39,"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?",B,train_fix,B,B,B,B,B
40,Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 là gì?,B,train_fix,B,B,B,B,B
41,"Theo tài liệu Public_010, nếu một phòng xét nghiệm thiết lập cấu trúc quản lý 5 mục tiêu và mỗi mục tiêu yêu cầu số hành động cải tiến tối thiểu theo quy định của tài liệu, tổng số hành động tối thiểu là bao nhiêu?",B,train_fix,B,C,B,B,C
42,"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?",D,train_fix,D,D,D,D,D
43,Ưu điểm và nhược điểm chính của RNN là gì?,D,train_fix,D,D,D,D,D
44,"Từ các dạng tấn công (SYN Flood, Smurf, DDoS, giả mạo địa chỉ, nghe lén) được mô tả trong tài liệu Public_154, hãy rút ra nhận định tổng quan về đặc điểm của các tấn công từ chối dịch vụ và tấn công mạng.",D,train_fix,D,D,D,D,D
45,"Giải thích cấu trúc, nguyên lý và ứng dụng siêu vật liệu trong điều khiển sóng điện từ và mạng 6G.",A,train_fix,A,A,A,A,A
46,"Theo tài liệu Public_069, chuỗi thời gian được lưu trữ hiệu quả thường sử dụng hệ thống hoặc định dạng nào?",D,train_fix,D,D,D,D,D
47,Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,A,train_fix,A,A,A,A,A
48,Nội dung chính của tài liệu là gì?,B,train_fix,B,B,B,B,B
49,"Nếu phải tóm tắt toàn bộ nội dung tài liệu “Sử dụng công cụ AI thiết kế học liệu điện tử” trong một câu, ý nào phản ánh đúng nhất?",A,train_fix,A,A,A,A,A
50,Độ dài khóa tối thiểu của thuật toán RSA theo quy định là bao nhiêu bit?,B,train_fix,B,B,B,B,B
51,Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,B,train_fix,B,B,B,B,B
52,"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",D,train_fix,D,D,D,D,D
53,Những yếu tố nào theo văn bản trực tiếp góp phần rút ngắn thời gian phát triển khi dùng Flutter (chọn mọi đáp án phù hợp)?,"A,B,D",train_fix,"A,B,D","A,B,D","A,B,D","A,B,D","A,B,D"
54,Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,C,train_fix,C,C,C,C,C
55,"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?",B,train_fix,A,A,A,A,A
56,Kubernetes được Google mở mã nguồn từ khi nào?,C,train_fix,C,C,C,C,C
57,Hợp chất nào đã cho thấy siêu dẫn gần nhiệt độ phòng khi nén áp suất cao?,C,train_fix,C,C,C,C,C
58,Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,B,train_fix,B,B,B,B,B
59,Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,A,train_fix,A,A,A,A,A
60,Độ phức tạp nhỏ nhất của Insertion Sort là?,C,train_fix,B,B,B,B,A
61,"Trình bày kiến trúc HPC và vai trò trong mô phỏng khí hậu, dự báo thời tiết cực đoan, nêu công nghệ hỗ trợ.",A,train_fix,A,A,A,A,A
62,"Nếu DoS kéo dài mà không phòng chống, nó có thể gây ra những hậu quả cụ thể nào?",A,train_fix,A,A,A,A,A
63,"Theo tài liệu Public_199, đâu là thách thức và cơ hội lớn nhất của Mô hình Ngôn ngữ Lớn (MTLT) lần lượt?",A,train_fix,A,A,A,A,A
64,Gói tin [SYN] trong quá trình bắt tay ba bước của TCP có ý nghĩa gì?,A,train_fix,A,A,A,D,A
65,"Trong ngữ cảnh của tài liệu Public_055, kết quả trả về cụ thể (ví dụ: mã trạng thái, cấu trúc dữ liệu, giá trị) khi tìm kiếm 'thấy' và 'không thấy' một mục lần lượt là gì?",C,train_fix,C,C,"B,C",B,B
66,"Hãy xác định (i) năm xuất hiện khái niệm mã hóa khóa bất đối xứng, và (ii) tên của hai nhà khoa học đề xuất nó.",D,train_fix,D,D,D,D,D
67,Công ty nào công bố pin natri-ion thương mại đầu tiên?,D,train_fix,D,D,D,D,D
68,"Theo tài liệu Public_198, AI mang lại những lợi ích gì trong lĩnh vực nông nghiệp và môi trường, và đâu là những thách thức chính khi áp dụng công nghệ này?",A,train_fix,A,A,A,A,A
69,Ứng dụng nào nổi bật của chip neuromorphic trong y tế?,A,train_fix,A,A,A,A,A
70,"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",C,train_fix,C,C,C,C,C
71,"Theo Phụ lục III, phương thức kết nối đến Cổng dịch vụ chứng thực chữ ký số công cộng là gì?",B,train_fix,B,B,B,B,B
72,Lợi ích xã hội quan trọng khi phát triển pin natri-ion?,B,train_fix,A,A,A,A,A
73,"Theo tài liệu Public_058, theo mô hình biểu đồ Venn, thiết kế kiểm chứng nên rơi vào miền nào nhiều nhất?",A,train_fix,D,D,B,A,A
74,"Nếu robot ở trạng thái st nhận phần thưởng tức thời rt = 5, hằng số chiết khấu γ = 0.9, và giá trị Q kỳ vọng của trạng thái kế tiếp là 10, thì giá trị cập nhật Q mới theo Q-Learning sẽ là bao nhiêu (giả sử Q cũ = 0)?",B,train_fix,B,A,B,B,B
75,Các thuật ngữ thường dùng của MongoDB,A,train_fix,A,A,A,A,A
76,"Theo tài liệu Public_198, GNIP (Mạng lưới đồng vị trong lượng mưa toàn cầu) có vai trò gì trong ứng dụng AI kết hợp kỹ thuật hạt nhân?",A,train_fix,A,A,A,A,A
77,"Trong bài toán Ngày kế tiếp, sự phân bố của những loại thực thể nào thường gây ra vấn đề, và liệu việc xác định một thực thể có phụ thuộc vào các thực thể khác không?",C,train_fix,A,B,"A,B","A,B",C
78,"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",D,train_fix,D,D,C,C,C
79,Các thành phần nào thuộc cơ chế Lighten Cross-Attention (LCA)?,D,train_fix,D,D,D,D,D
80,Cổng nào trong GRU quyết định mức độ ảnh hưởng của trạng thái trước đó lên trạng thái mới?,C,train_fix,A,C,"A,C",A,A
81,Điểm chung của các chuẩn đo lường cơ bản trong hệ SI là:,A,train_fix,A,A,A,A,A
82,Mô tả chi tiết ưu điểm của Kafka về tính mã nguồn mở và khả năng xử lý dữ liệu lớn.,D,train_fix,D,D,D,D,D
83,Nội dung chính của tài liệu Public_034 là gì?,B,train_fix,B,B,B,B,B
84,"Theo tài liệu Public_202, trong hai bộ phận là còi xe và vô lăng lái thì bộ phận nào có chức năng phát ra âm thanh báo hiệu cho người và phương tiện tham gia giao thông?",D,train_fix,D,D,D,D,D
85,"Theo khuyến nghị, dung lượng RAM tối thiểu để cài đặt Premiere Pro CC 2022 là bao nhiêu?",C,train_fix,C,C,C,B,B
86,Xu hướng nào giúp nhiều tổ chức cùng huấn luyện mô hình AI mà vẫn giữ bí mật dữ liệu hóa học?,B,train_fix,B,B,B,B,B
87,Mét được định nghĩa dựa trên hiện tượng nào và giây được định nghĩa dựa trên dao động của nguyên tử nào?,B,train_fix,B,B,B,B,C
88,Mô tả chức năng và các bước sử dụng của công tắc đèn xe ô tô được trình bày trong tài liệu Public_202?,A,train_fix,A,A,A,A,A
89,Bước nào nêu rõ các tiêu chí và quy trình để lựa chọn công cụ kiểm thử phù hợp?,C,train_fix,C,C,C,C,C
90,Tính chất đầy đủ của thuật toán BFS được hiểu như thế nào?,D,train_fix,"B,D",D,D,D,D
91,"Trong giải thuật RSA, độ an toàn được dựa trên tính khó của bài toán nào?



",A,train_fix,A,A,A,A,A
92,Một photodiode PIN cho dòng điện 1 µA trong điều kiện chiếu sáng phòng. Một phototransistor cùng điều kiện có dòng lớn hơn khoảng bao nhiêu lần?,D,train_fix,D,D,D,D,D
93,"Trong các giao thức con của SSL/TLS, giao thức nào đảm nhiệm việc tạo đường hầm an toàn để vận chuyển dữ liệu, đảm bảo tính bí mật và toàn vẹn?",C,train_fix,C,C,C,C,C
94,Nhận định nào sau đây không đúng dựa trên nội dung của tài liệu Public_055?,B,train_fix,B,B,B,B,A
95,GAN là viết tắt của?,A,train_fix,A,A,A,A,A
96,Thách thức chính khi dùng GNN trong khám phá vật liệu là gì?,A,train_fix,A,A,A,A,A
97,"Trong hệ đếm thập lục phân, ký tự “F” biểu diễn giá trị thập phân nào?",C,train_fix,C,C,C,C,C
98,Thuật toán tổng hợp trọng số phổ biến trong FL là gì?,C,train_fix,C,C,C,C,C
99,Đâu không phải là đặc điểm của linked list?,A,train_fix,A,A,A,A,A
100,Thành phần nào đóng vai trò đưa ra hành động trong DRL?,C,train_fix,C,C,C,C,C
101,Giá trị của đo độ Hamming Loss trong trường hợp lí tưởng bằng bao nhiêu?,B,train_fix,B,B,B,B,B
102,Hệ thống chống sét theo TCVN 9385:2012 bao gồm mấy phần chính?,C,train_fix,B,B,B,B,B
103,Thành phần nào mô tả xác suất chuyển giữa các trạng thái ẩn trong HMM?,A,train_fix,A,A,A,A,A
104,"Nếu kết nối Internet bị gián đoạn, hệ thống Edge sẽ phản ứng thế nào?",A,train_fix,A,A,A,A,A
105,Một trình tối ưu linear regression ghi nhận cost function tăng. Hành động hợp lý tiếp theo là gì?,D,train_fix,D,D,D,D,D
106,Vì sao phần mềm ký số và kiểm tra chữ ký số cần hỗ trợ dấu thời gian trên thông điệp dữ liệu?,B,train_fix,B,B,B,B,B
107,Ứng dụng nào minh họa rõ nhất lợi ích của điện toán không gian trong y tế?,C,train_fix,C,C,C,C,C
108,"Theo tài liệu Public_152, trong bảy vùng của hạ tầng CNTT, vùng nào được đề cập là có nhiều mối đe dọa và nguy cơ nhất?",C,train_fix,C,C,C,C,C
109,MAE loss còn có tên khác là gì,A,train_fix,A,A,A,A,A
110,Zoiper được biết đến là loại phần mềm gì?,C,train_fix,C,C,C,C,C
111,Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,A,train_fix,A,A,A,A,A
112,Chương Public_060 sẽ đi qua bao nhiêu ví dụ?,C,train_fix,B,A,"B,C","B,C",B
113,Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,C,train_fix,C,C,C,C,C
114,"Nếu ảnh đầu vào có kích thước 32×32, bộ lọc 5×5, stride = 1, padding = 0, thì kích thước đầu ra là bao nhiêu?",B,train_fix,A,B,B,B,B
115,"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",B,train_fix,B,B,B,B,B
116,"Theo tài liệu, MD5 tạo chuỗi giá trị băm 128 bit, SHA1 tạo chuỗi 160 bit. Nếu một ứng dụng yêu cầu độ dài băm tối thiểu 160 bit để đảm bảo an toàn, hệ quả nào có thể xảy ra nếu vẫn sử dụng MD5 thay vì SHA1?",B,train_fix,B,B,B,B,B
117,Giao diện của phần mềm softphone Zoiper được thiết kế như thế nào để người dùng cảm thấy quen thuộc khi sử dụng?,B,train_fix,B,B,B,B,B
118,"Theo tài liệu Public_038, khẳng định nào dưới đây là đúng với cơ chế attention?",C,train_fix,"B,C",C,C,C,C
119,"Theo tài liệu, phát hiện bất thường có thể tạo ra nhiều báo động giả, còn phát hiện dựa trên chữ ký lại không phát hiện được tấn công chưa có mẫu. Nếu một tổ chức muốn giảm thiểu cả hai hạn chế này, giải pháp hợp lý nhất là gì?



",C,train_fix,C,C,C,C,C
120,"Theo tài liệu Public_094, mô phỏng N-body chủ yếu tái hiện điều gì?",C,train_fix,C,C,C,C,C
121,"Theo tài liệu `Public_057`, đồ thị bánh xe có bao nhiêu cạnh?",C,train_fix,C,A,C,A,A
122,"Theo tài liệu, pgloader cho phép thực hiện những tác vụ nào, và pg-chameleon được dùng trong trường hợp nào?",A,train_fix,A,A,A,A,A
123,"Trong tài liệu Public_002, đối với đoạn liệt kê các học phần từ số 47 đến 81, nếu các học phần này được trải đều trên 7 trang, trung bình mỗi trang mô tả bao nhiêu học phần?",A,train_fix,B,A,"B,C",B,B
124,Ưu điểm lớn của hydro so với pin lithium-ion cho xe tải đường dài?,D,train_fix,D,D,D,D,D
125,Thành phần nào trong kiến trúc 5G cho phép chia mạng thành nhiều “lát” phục vụ các dịch vụ khác nhau?,B,train_fix,B,B,B,B,B
126,Đâu là nhân tố đóng góp vào việc phát triển kiểm thử tự động,D,train_fix,"B,C","B,C","B,C,D",D,D
127,CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,B,train_fix,B,B,B,B,B
128,Sản phẩm phụ duy nhất của pin nhiên liệu hydro là gì?,B,train_fix,B,B,B,B,B
129,"Thứ tự của quy trình kiểm tra mô hình? Sắp xếp các bước sau.
1. Sử dụng mô hình tạo ca kiểm thử
2. Chạy kịch bản kiểm thử
3. Đối chiếu kết quả kiểm thử
4. Đánh giá và phản hồi",B,train_fix,B,B,B,B,B
130,"Theo Microsoft, lỗ hổng bảo mật được phân loại theo mấy mức độ nghiêm trọng?",C,train_fix,C,C,C,C,C
131,Tóm tắt các nội dung về truy vấn cơ sở dữ liệu.,A,train_fix,A,A,"A,D",A,A
132,"Nếu Windows XP quản lý cho phép đặt tên tập tin dài tối đa 255 ký tự, còn MS-DOS chỉ cho phép tối đa 8 ký tự, thì Windows XP dài hơn bao nhiêu ký tự?",C,train_fix,C,C,"B,C",B,B
133,Điện toán biên giải quyết vấn đề độ trễ trong nhà máy thông minh như thế nào?,C,train_fix,C,C,C,C,C
134,Nội dung chính của tài liệu là gì?,B,train_fix,B,B,B,B,B
135,"Cho 5 đối tượng được xếp hạng tương ứng là A, C, E, D, B; một xếp hạng của đối tượng cần đánh giá là A, E, B, D, C. Tính chỉ số MAP (Mean Average Precision) theo công thức được cho trong tài liệu Public_121.",D,train_fix,B,D,B,B,B
136,"Theo tài liệu, hệ thống IDS hoạt động chủ yếu ở lớp nào trong mô hình OSI?



",C,train_fix,C,C,"C,D",D,D
137,"Hãy xác định (i) công thức mối quan hệ giữa tấn công, mối đe dọa và lỗ hổng, và (ii) ví dụ một dạng tấn công theo mục đích.",B,train_fix,B,B,B,B,B
138,Đồ thị được tạo thành bằng cách bổ sung một đỉnh nối với mọi đỉnh của đồ thị C_n được ký hiệu là?,A,train_fix,A,A,A,A,A
139,"Theo tài liệu Public_254, giấu tin trong ảnh được định nghĩa như thế nào?",C,train_fix,C,C,C,C,C
140,"Theo tài liệu Public_185, các loại báo cáo mà Jira cung cấp có đặc điểm chung nào?",A,train_fix,A,A,A,A,A
141,"Nếu có 4 worker trong thiết kế phân tán, mỗi worker tính được gradient ∇L(θ)i\nabla L(\theta)_i. Khi dùng cơ chế trung bình, gradient tổng hợp sẽ được tính như thế nào?",D,train_fix,D,D,D,D,D
142,"Theo tài liệu, số vòng lặp xử lý trong giải thuật AES khi sử dụng khóa 192 bit là bao nhiêu?",B,train_fix,B,B,B,B,B
143,Mục đích chính của quá trình ETL trong quản lý dữ liệu là gì?,B,train_fix,B,B,B,B,B
144,"Mô tả các thành phần cảm biến, thuật toán và thách thức của hệ thống thị giác máy tính thế hệ tiếp theo cho xe tự hành.",A,train_fix,A,A,A,A,A
145,"Nếu kẻ tấn công đã thành công dump được thông tin từ LSASS và có được hash NTLM, bước tiếp theo hợp lý nhất để mở rộng trong mạng nội bộ là gì?",D,train_fix,D,D,D,D,D
146,Đâu là công thức của sigmoid?,C,train_fix,C,C,C,C,C
147,"Theo tài liệu Public_113, ý tưởng cốt lõi của RNN là gì?",B,train_fix,B,B,B,B,B
148,Có mấy bước cài đặt Driver Nvidia sử dụng Repository chuẩn theo phương pháp cài đặt qua dòng lệnh,B,train_fix,"B,C,D",B,B,B,X
149,"Trong tài liệu Public_172, phần “Tính năng của Adobe Premiere Pro CC 2022” chủ yếu đề cập đến điều gì?",A,train_fix,A,A,A,A,A
150,Bước đầu tiên của quá trình khởi tạo phiên làm việc giữa SSL Client và SSL Server là gì,C,train_fix,C,C,C,C,C
151,"Trong case notification-service, nếu chỉ có một relay publisher chung cho tất cả channel (sms, email, voice call) thay vì tách riêng, rủi ro lớn nhất là gì?",B,train_fix,B,B,"B,D",B,B
152,Đâu không phải một ví dụ duyệt được thực hiện bởi quay lui?,D,train_fix,D,D,D,D,D
153,"Theo tài liệu Public_045, điểm chung của Transfer learning và data augmentation là gì?",B,train_fix,B,B,"A,B",B,B
154,Các giai đoạn phát triển phần mềm,A,train_fix,"A,D",A,"A,D","A,D",A
155,Đặc điểm của một vector không phải là one-hot encoding là gì?,B,train_fix,B,B,B,B,B
156,Thách thức lớn nhất của Sao Hỏa khiến nước khó tồn tại ở dạng lỏng?,B,train_fix,B,B,B,B,B
157,Tóm tắt các nội dung chính của văn bản Public_182 về tấn công DoS/DDoS.,A,train_fix,"A,D",A,"A,D","A,D","A,D"
158,"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",A,train_fix,A,A,A,A,A
159,Tóm tắt cách tạo bảng 'Cán bộ quản lý mới' theo hướng dẫn trong tài liệu Public_190.,C,train_fix,C,C,C,C,C
160,Hạn chế chính của siêu tụ điện so với pin lithium-ion là gì?,B,train_fix,B,B,B,B,B
161,Vật liệu dệt là gì? Và chúng được phân loại chủ yếu dựa theo tiêu chí nào?,B,train_fix,D,D,D,A,A
162,"Theo tài liệu Public_198, AI đã góp phần cải thiện hiệu quả điều trị ung thư trong lĩnh vực y tế bằng cách nào?",B,train_fix,B,B,B,B,B
163,Mục tiêu chính của phương pháp dual illumination estimation được trình bày trong tài liệu Public_122 là gì?,B,train_fix,B,B,B,B,B
164,"Có 2 chiến dịch liên quan đến Operation Dream Job. Một là Operation North Star, cái còn lại là gì?",C,train_fix,C,C,"A,C",C,C
165,Ưu điểm nổi bật nhất của Edge Computing so với Cloud Computing truyền thống là gì?,B,train_fix,B,B,B,B,B
166,CIFAR-10 và Fashion-MNIST có bao nhiêu lớp (classes)?,A,train_fix,A,D,"A,C",A,A
167,"Sử dụng công thức quy đổi RGB sang ảnh xám (p = 0.299 * r + 0.587 * g + 0.114 * b, làm tròn tới hàng đơn vị) được đề cập trong tài liệu Public_043, hãy xác định giá trị pixel ảnh xám ứng với pixel ảnh RGB (100, 10, 1).",A,train_fix,A,A,A,C,C
168,"Trong học phần An toàn mạng (Network Security), người học cần đạt được những chuẩn đầu ra nào sau đây?","A,C",train_fix,"A,C","A,C","A,C","A,C",A
169,"Dựa vào thông tin trong tài liệu Public_001, hãy tính số bài báo trung bình mỗi lớp trong nghiên cứu được đề cập.",B,train_fix,B,C,"B,C",C,A
170,Đơn vị đo điện trở là gì?,A,train_fix,A,A,A,A,A
171,Mục tiêu chính của Security Awareness & Training Policy được đề cập trong tài liệu Public_260 là gì?,D,train_fix,D,D,D,D,D
172,"Theo tài liệu Public_174, Hồ dữ liệu (Data Lake) cho phép lưu trữ dữ liệu có cấu trúc và không có cấu trúc, và nó hỗ trợ những phương pháp phân tích nào?",A,train_fix,A,A,A,A,A
173, Devops khác biệt gì so với Sysadmin?,B,train_fix,B,B,B,B,B
174,"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",C,train_fix,C,C,C,C,C
175,Đâu là một ví dụ được coi là tương đồng với cách thức huấn luyện của GAN?,A,train_fix,A,A,"A,C","A,C",A
176,Nội dung chính của tài liệu là gì?,B,train_fix,B,B,B,B,B
177,"Theo văn bản, những đặc điểm nào sau đây phản ánh tính phân tán nổi bật của Git?","A,B",train_fix,"A,B","A,B","A,B","A,B","A,B"
178,Nút “Kết xuất excel” trong màn hình Quản lý KH CusID có quy tắc hoạt động ra sao?,B,train_fix,B,B,B,B,B
179,"Giả sử một hàm ba biến f(x1, x2, x3) được đem ra kiểm thử giá trị biên, hỏi một ca kiểm thử gốc sẽ cho ra bao nhiêu ca kiểm thử dẫn xuất?",C,train_fix,C,A,B,B,B
180,Một thuật toán gradient descent lấy ra 32 dữ liệu điểm mỗi lần tính đạo hàm thì thuộc loại gradient descent nào?,B,train_fix,B,B,B,B,B
181,"Theo tài liệu, trong quá trình đăng ký Tableau, người dùng cần cung cấp một số thông tin cá nhân. Nếu một người dùng nhập sai địa chỉ email trong bước đăng ký, hệ quả nào có thể xảy ra?
",A,train_fix,A,A,A,A,A
182,"Khi xác định phạm vi tự động hóa, cần chú ý những yếu tố nào?","A,D",train_fix,"A,B,D","A,B,D","A,B,D","A,C,D","A,B,D"
183,Công nghệ nào hỗ trợ khám phá vật liệu siêu dẫn mới nhanh hơn?,B,train_fix,B,B,B,B,B
184,"Nếu Spike Testing thất bại liên tục, điều gì xảy ra khi một số lượng lớn người dùng truy cập cùng một lúc vào một hệ thống thương mại điện tử?",B,train_fix,"A,B",B,B,B,B
185,"Theo tài liệu, phương pháp kết hợp bắt đầu bằng đánh giá rủi ro ở mức cao, sau đó chuyển sang đánh giá chi tiết. Nếu đánh giá ở mức cao ban đầu không chính xác, hậu quả nào có thể xảy ra?",B,train_fix,B,B,B,B,B
186,"Giả sử một bệnh viện có hạ tầng yếu, vấn đề chính khi tham gia FL là gì?",C,train_fix,C,C,C,C,C
187,Thách thức quan trọng nhất đối với xử lý thời gian thực trong xe tự hành là gì?,A,train_fix,A,A,A,A,A
188,Transactional outbox pattern giải quyết triệt để vấn đề nào liên quan đến việc đảm bảo tính nguyên tử (atomicity) giữa cập nhật cơ sở dữ liệu cục bộ và gửi thông báo/sự kiện trong giao dịch phân tán?,B,train_fix,B,B,B,B,B
189,Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,A,train_fix,A,A,A,A,A
190,"Dựa vào nội dung văn bản, tại sao việc phòng chống ACK Flood Attack lại khó hơn so với các cuộc tấn công DDoS khác?",C,train_fix,C,C,C,C,C
