Question,A,B,C,D,source_folder,num_answers
Tác dụng bất lợi và chống chỉ định khi sử dụng thiết bị AirStart 10 ?,"Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
bệnh kén khí phổi nặng
tràn khí màng phổi
huyết áp thấp bệnh lý
mất nước
rò rỉ dịch não tủy, phẫu thuật sọ não gần đây hoặc chấn thương.     
Tác dụng bất lợi
Quý vị nên báo cáo cho bác sĩ kê đơn của mình nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. Có thể phải tạm thời ngừng điều trị nếu bệnh nhân bị nhiễm trùng cấp tính đường hô hấp trên.","Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
bệnh kén khí phổi nặng
tràn khí màng phổi
huyết áp thấp bệnh lý
mất nước
 Tác dụng bất lợi
Quý vị nên báo cáo cho bác sĩ kê đơn của mình nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. Có thể phải tạm thời ngừng điều trị nếu bệnh nhân bị nhiễm trùng cấp tính đường hô hấp trên.","Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
tràn khí màng phổi
huyết áp thấp bệnh lý
mất nước
 Tác dụng bất lợi
Quý vị nên báo cáo cho bác sĩ kê đơn của mình nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. Có thể phải tạm thời ngừng điều trị nếu bệnh nhân bị nhiễm trùng cấp tính đường hô hấp trên.","Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
tràn khí màng phổi
huyết áp thấp bệnh lý
mất nước
 Tác dụng bất lợi
Quý vị nên tự ý sử dụng tiếp nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. ",train_fix,1
Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,"Thuật toán phải rõ ràng, không nhập nhằng",Thuật toán không được chạy vô hạn,"Thuật toán phải được thiết kế đặc thù, chuyên sâu thay vì tổng quát","Thuật toán nên dễ hiểu, dễ cài đặt",train_fix,1
"Theo tài liệu Public_163, phiên bản TLS nào được sử dụng rộng rãi nhất?",1.0,1.1,1.2,1.3,train_fix,1
Thách thức lớn nhất để triển khai đại trà giao thông hydro?,Chi phí sản xuất và hạ tầng trạm nạp còn cao,Nhiệt độ thấp,Khó lưu trữ CO₂,Thiếu pin lithium,train_fix,1
Mô hình nào sử dụng self-attention để thay thế RNN trong hệ gợi ý tuần tự?,GRU4Rec,SASRec,BERT4Rec,LSTM,train_fix,1
"Trong Phụ lục II, tiêu chí nào xác định tính toàn vẹn của thông điệp dữ liệu đã ký số?",Chứng thư chữ ký số còn hiệu lực tại thời điểm ký,Mã băm của thông điệp dữ liệu trùng khớp với mã băm giải mã chữ ký,Xác thực thông tin chủ thể ký,Kiểm tra chứng thư số còn hoạt động tại thời điểm ký,train_fix,1
"Giải thích nguyên lý pin nhiên liệu hydro và ứng dụng trong giao thông, đồng thời nêu lợi ích và thách thức hạ tầng.","H₂ + O₂ → điện + nước; ưu điểm: mật độ năng lượng cao, nạp nhanh, không CO₂; ứng dụng: xe hơi, xe tải, tàu biển, hàng không; thách thức: chi phí hydro xanh, hạ tầng trạm nạp, an toàn rò rỉ","Chỉ dùng trong phòng thí nghiệm, không áp dụng giao thông",Phát thải CO₂ nhiều như xăng,"Nạp chậm, hiệu suất thấp hơn pin lithium-ion",train_fix,1
"Cơ quan kiểm tra nhà nước về chất lượng sản phẩm, hàng hóa vật liệu xây dựng ở địa phương là đơn vị nào?",Sở Công Thương.,Sở Xây dựng,Bộ Tài chính.,Ủy ban nhân dân tỉnh.,train_fix,1
"Theo tài liệu Public_058, đâu là một tên gọi khác của kiểm thử chức năng?",Kiểm thử hộp màu,Kiểm thử hộp đen,Kiểm thử hộp trắng,Kiểm thử hộp xám,train_fix,1
Nội dung chính của văn bản Public_263 là gì?,"Mô tả và phân tích yêu cầu cho hệ thống web quản lí đăng kí học tín chỉ của trường đại học: xây dựng từ khóa miền, mô tả chức năng theo vai trò, quy tắc nghiệp vụ, đối tượng dữ liệu và quan hệ giữa chúng.","Hướng dẫn triển khai hạ tầng bảo mật (Firewall, IDS/IPS, VPN) cho hệ thống đăng kí tín chỉ.","Quy định học phí, miễn giảm và quy trình thu – nộp theo học kì.",Tài liệu hướng dẫn sử dụng giao diện cho sinh viên và giảng viên.,train_fix,1
"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?","0,5 triệu giáo viên, 10 triệu học sinh","0,8 triệu giáo viên, 15 triệu học sinh","1,0 triệu giáo viên, 20 triệu học sinh","1,4 triệu giáo viên, 23 triệu học sinh",train_fix,1
"Theo tài liệu Public_069, những đặc điểm quan trọng nào của dữ liệu chuỗi thời gian cần được xem xét trong việc dự báo?",Có nhiều biến phân loại,Được thu thập từ nhiều nguồn không đồng bộ,Tính phụ thuộc thời gian — giá trị hiện tại phụ thuộc vào giá trị trước đó,Được lưu trữ ở định dạng cột,train_fix,1
"Nếu dữ liệu chuỗi thời gian từ nhiều cảm biến tương quan với nhau được nhóm lại và nén (multi-series group compression), lợi ích nào có thể có được?","Giảm dung lượng lưu trữ, tăng tốc truy vấn",Tăng chi phí tính toán,Giảm độ chính xác vì mất thông tin chi tiết,Không ảnh hưởng vì các chuỗi không liên quan,train_fix,1
Mục tiêu của tấn công DoS là gì?,Ngăn người dùng hợp pháp truy cập,Đánh cắp dữ liệu,Tăng tốc độ hệ thống, Tạo bản sao lưu,train_fix,1
"Theo tài liệu Public_002, học phần Bảo mật Web trang bị kiến thức về bộ rủi ro phổ biến nào?",OWASP Top 10,IEEE 802.11,ISO/IEC 27001,NIST Cybersecurity Framework,train_fix,1
"Với hash `0160375e19e606d06f672be6e43f70fa70093d2a30031affd2929a5c446d07c1`, URL nào đã được tệp tương ứng truy cập vào ngày 03-08-2022?",https[:]//professional-opps[.]org/lkjob.docx,https[:]//jobmarketinsights[.]info/lk_job_openings.docx,https[:]//markettrendingcenter[.]com/lk_job_oppor.docx,https[:]//careerupdatenews[.]net/lj_job_offer.docx,train_fix,1
Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,Min-heap,Max-heap,Avg-heap,Mean-heap,train_fix,1
Cảm biến nào cung cấp bản đồ 3D chính xác cho xe tự hành?,Camera RGB,LiDAR,Siêu âm,IMU,train_fix,1
"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?",Hai. Meaning segmentation và object segmentation,"Ba. Semantic segmentation, syntax segmentation và instance segmentation",Hai. Semantic segmentation và instance segmentation,Hai. Subjective segmentation và objective segmentation,train_fix,1
Quy chuẩn trong tài liệu Public_284 không áp dụng cho loại hàng hóa nào sau đây?,Hàng hóa vật liệu xây dựng sản xuất trong nước.,"Hàng hóa vật liệu xây dựng nhập khẩu để nghiên cứu, thử nghiệm.",Hàng hóa vật liệu xây dựng nhập khẩu để kinh doanh tại Việt Nam.,Hàng hóa vật liệu xây dựng sử dụng trong các công trình xây dựng.,train_fix,1
"Transactional outbox pattern lưu message ở đâu, và thành phần nào chịu trách nhiệm đọc & publish message đó?",Lưu ở cache memory; consumer chịu trách nhiệm publish,Lưu ở outbox_table; relay publisher chịu trách nhiệm publish,Lưu ở broker topic; service chính publish trực tiếp,Lưu ở file log; background worker publish,train_fix,1
Nội dung chính của tài liệu Public_115 đề xuất điều gì?,Giới thiệu mạng CNN truyền thống cho xử lý ảnh sáng yếu,Trình bày cách dùng HSV để cải thiện chất lượng ảnh,Đề xuất không gian màu HVI và mạng CIDNet để nâng cao chất lượng ảnh ánh sáng yếu,Thảo luận về cảm biến camera trong môi trường ánh sáng yếu,train_fix,1
"Theo tài liệu Public_035, điều gì xảy ra nếu learning rate quá nhỏ?",Thuật toán hoạt động bình thường,Hàm số không hội tụ,Hàm số hội tụ rất chậm,Hàm số hội tụ rất nhanh,train_fix,1
Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,2A,4A,6A,12A,train_fix,1
"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)","2i, 2i + 1","2i, 2i + 2","2i + 1, 2i + 2","2i, 3i",train_fix,1
"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?",Không,Có,Tùy tình huống,,train_fix,1
Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 là gì?,Lịch sử các phát minh trong lĩnh vực điện,"Khái niệm nguyên tử, electron tự do, sự hình thành dòng điện và ba đặc tính cơ bản của điện",Các định luật về từ trường,Các ứng dụng hiện đại của điện,train_fix,1
"Theo tài liệu Public_010, nếu một phòng xét nghiệm thiết lập cấu trúc quản lý 5 mục tiêu và mỗi mục tiêu yêu cầu số hành động cải tiến tối thiểu theo quy định của tài liệu, tổng số hành động tối thiểu là bao nhiêu?",5,10,15,20,train_fix,1
"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?",Cấu hình khởi đầu,Cấu hình kết thúc,Thuật toán chuyển cấu hình tất định,Cấu hình tối ưu,train_fix,1
Ưu điểm và nhược điểm chính của RNN là gì?,"Ưu: Xử lý song song, Nhược: Mất thông tin ngắn hạn","Ưu: Mô hình nhỏ gọn, Nhược: Tốn bộ nhớ","Ưu: Ghi nhớ dài hạn, Nhược: Quá nhiều tham số","Ưu: Xử lý chuỗi dài khác nhau, Nhược: Vanishing gradient, chậm, khó song song hóa",train_fix,1
"Từ các dạng tấn công (SYN Flood, Smurf, DDoS, giả mạo địa chỉ, nghe lén) được mô tả trong tài liệu Public_154, hãy rút ra nhận định tổng quan về đặc điểm của các tấn công từ chối dịch vụ và tấn công mạng.",Thường dựa vào một lỗi phần cứng cố định nên có thể loại bỏ triệt để bằng thay thế thiết bị,"Chỉ xuất hiện trên mạng LAN, hầu như không ảnh hưởng đến mạng diện rộng","
Chủ yếu gây mất dữ liệu vĩnh viễn, ít khi làm gián đoạn dịch vụ "," Khó phòng chống hoàn toàn, thường phải kết hợp nhiều biện pháp khác nhau và có thể ảnh hưởng đến hiệu năng hệ thống ",train_fix,1
"Giải thích cấu trúc, nguyên lý và ứng dụng siêu vật liệu trong điều khiển sóng điện từ và mạng 6G.","Unit cell nhỏ hơn bước sóng, khúc xạ âm, metasurface tái cấu hình, tăng tốc terabit/giây, RIS tăng phủ sóng, bảo mật tín hiệu","Siêu vật liệu chỉ để cách âm, không liên quan sóng điện từ",6G không cần siêu vật liệu,Ứng dụng duy nhất là kính tiềm vọng quang học,train_fix,1
"Theo tài liệu Public_069, chuỗi thời gian được lưu trữ hiệu quả thường sử dụng hệ thống hoặc định dạng nào?",Relational database thông thường,File văn bản CSV không nén,Không định dạng timestamp chính xác,"Time Series Database (TSDB) hoặc định dạng columnar, hỗ trợ nén và xử lý hiệu quả",train_fix,1
Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,Mạng được phân loại theo quan hệ giữa các máy và theo quy mô địa lý; Internet ban đầu ra đời từ mục đích quân sự của Bộ Quốc phòng Mỹ,Mạng được phân loại theo tốc độ và dung lượng; Internet ban đầu ra đời để phục vụ thương mại điện tử,Mạng được phân loại theo số lượng người dùng và chi phí; Internet ban đầu ra đời để phục vụ cho các công ty công nghệ,Mạng được phân loại theo loại đường truyền và phần mềm; Internet ban đầu ra đời để phục vụ giáo dục phổ thôngComplete,train_fix,1
Nội dung chính của tài liệu là gì?,Giới thiệu lịch sử phát triển ngành CNTT,"Mô tả vắn tắt nội dung và khối lượng các học phần bắt buộc, cơ sở và chuyên ngành trong chương trình đào tạo CNTT",Phân tích xu hướng việc làm CNTT,Đề xuất cải tiến phương pháp giảng dạy CNTT,train_fix,1
"Nếu phải tóm tắt toàn bộ nội dung tài liệu “Sử dụng công cụ AI thiết kế học liệu điện tử” trong một câu, ý nào phản ánh đúng nhất?","Tài liệu nhấn mạnh tiềm năng, lợi ích, thách thức và quy trình áp dụng AI vào thiết kế học liệu điện tử nhằm nâng cao hiệu quả giáo dục kỹ năng sống.",Tài liệu mô tả sự phát triển phần mềm AI trong lĩnh vực công nghiệp quốc phòng.,Tài liệu chỉ tập trung vào lịch sử hình thành học liệu truyền thống.,Tài liệu khẳng định AI có thể thay thế hoàn toàn vai trò giáo viên.,train_fix,1
Độ dài khóa tối thiểu của thuật toán RSA theo quy định là bao nhiêu bit?,1024 bit,2048 bit,4096 bit,512 bit,train_fix,1
Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,Philippe Dreyfus,Karl Steinbuch,Walter F. Bauer,Alan Turing,train_fix,1
"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",Không trùng cột với các quân hậu còn lại,Không cùng đường chéo xuôi với các quân hậu còn lại,Không cùng đường chéo ngược với các quân hậu còn lại,Cả ba tiêu chí trên,train_fix,1
Những yếu tố nào theo văn bản trực tiếp góp phần rút ngắn thời gian phát triển khi dùng Flutter (chọn mọi đáp án phù hợp)?,Viết một mã nguồn duy nhất (single code-base) để triển khai trên nhiều nền tảng,Tính năng Hot Reload cho phép thấy kết quả tức thì khi chỉnh sửa mã,"Kích thước tệp ứng dụng nhỏ, giúp giảm thời gian khởi động","Các widget tích hợp sẵn, phong phú và dễ dùng",train_fix,3
Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,Giới thiệu các ứng dụng cụ thể của điện toán đám mây,Phân tích lợi ích và chi phí triển khai hệ thống cảm biến,Phân loại và đánh giá nghiên cứu IoT ứng dụng nhà thông minh trong 10 năm qua,Trình bày chi tiết về công nghệ vi mạch trong IoT,train_fix,1
"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?","Các sửa đổi phải có khả năng truy nguyên đến phiên bản trước hoặc các quan sát ban đầu, bao gồm ngày, giờ, nội dung thay đổi và nhân viên thực hiện","Chỉ cần lưu trữ phiên bản mới của hồ sơ, không cần lưu dữ liệu gốc","Chỉ cần lưu ngày và giờ của phiên bản mới, không cần thông tin về thay đổi",Không cần lưu hồ sơ nếu chỉ là sửa đổi nhỏ,train_fix,1
Kubernetes được Google mở mã nguồn từ khi nào?,2000,2010,2014,2025,train_fix,1
Hợp chất nào đã cho thấy siêu dẫn gần nhiệt độ phòng khi nén áp suất cao?,Silicon-carbide,Đồng-oxit,Hydride giàu hydro,Thép carbon,train_fix,1
Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,Giới thiệu lịch sử ngành dệt may,"Trình bày khái niệm, phân loại và tính chất cơ bản của xơ, sợi và sản phẩm dệt",Phương pháp gia công vải dệt kim,Quy trình nhuộm và in vải,train_fix,1
Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,ROM,RAM,Cache,Thanh ghi,train_fix,1
Độ phức tạp nhỏ nhất của Insertion Sort là?,O(N^2),O(N),O(NlogN),O(sqrt(N)),train_fix,1
"Trình bày kiến trúc HPC và vai trò trong mô phỏng khí hậu, dự báo thời tiết cực đoan, nêu công nghệ hỗ trợ.","Kiến trúc: hàng chục nghìn CPU/GPU, InfiniBand, domain decomposition, Navier–Stokes; ứng dụng: dự báo khí hậu 100 năm, cảnh báo bão/lũ, theo dõi cháy rừng; công nghệ: GPU, ML+HPC, cloud-hybrid, lưu trữ petabyte; lợi ích: tăng độ chính xác, giảm thời gian tính toán.","HPC chỉ là cụm máy chủ nhỏ, không hỗ trợ dự báo khí hậu.",Chỉ dùng CPU đơn lẻ; không cần domain decomposition.,"HPC chỉ áp dụng cho AI, không liên quan mô phỏng khí hậu.",train_fix,1
"Nếu DoS kéo dài mà không phòng chống, nó có thể gây ra những hậu quả cụ thể nào?","Mất doanh thu, gián đoạn, thất thoát dữ liệu","Người dùng, công ty vẫn không có vấn đề gì",Người dùng tự rời đi không thiệt hại,Công ty mất tiền chuộc lại hệ thống,train_fix,1
"Theo tài liệu Public_199, đâu là thách thức và cơ hội lớn nhất của Mô hình Ngôn ngữ Lớn (MTLT) lần lượt?",Thách thức: độ ổn định qubit và độ chính xác kết quả; Cơ hội: giải quyết các bài toán phức tạp mà MTTT không thể.,Thách thức: thiếu nguồn điện; Cơ hội: thay thế hoàn toàn trí tuệ con người.,Thách thức: chi phí đào tạo nhân lực; Cơ hội: giảm nhu cầu nghiên cứu khoa học.,Thách thức: thiếu chip silicon; Cơ hội: chỉ áp dụng trong quân sự.,train_fix,1
Gói tin [SYN] trong quá trình bắt tay ba bước của TCP có ý nghĩa gì?,"Yêu cầu đồng bộ, khởi tạo kết nối từ client đến server",Xác nhận server đã nhận dữ liệu.,Hủy kết nối hiện tại.,Truyền dữ liệu HTTP đến web server.,train_fix,1
"Trong ngữ cảnh của tài liệu Public_055, kết quả trả về cụ thể (ví dụ: mã trạng thái, cấu trúc dữ liệu, giá trị) khi tìm kiếm 'thấy' và 'không thấy' một mục lần lượt là gì?",1 và 0,1 và -1,Chỉ số phần tử cần tìm và -1,Chỉ số phần tử cần tìm và 0,train_fix,1
"Hãy xác định (i) năm xuất hiện khái niệm mã hóa khóa bất đối xứng, và (ii) tên của hai nhà khoa học đề xuất nó.", Năm 1976; Ronald Rivest và Adi Shamir,Năm 1977; Leonard Adleman và Martin Hellman,"
Năm 2000; Ronald Rivest và Leonard Adleman",Năm 1976; Whitfield Diffie và Martin Hellman ,train_fix,1
Công ty nào công bố pin natri-ion thương mại đầu tiên?,Tesla,Samsung SDI,Panasonic,CATL,train_fix,1
"Theo tài liệu Public_198, AI mang lại những lợi ích gì trong lĩnh vực nông nghiệp và môi trường, và đâu là những thách thức chính khi áp dụng công nghệ này?","Lợi ích: phát hiện gian lận thực phẩm, quản lý đất bằng kỹ thuật đồng vị; Thách thức: khác biệt trong lấy mẫu và chuẩn hóa dữ liệu",Lợi ích: giảm nhu cầu nghiên cứu đồng vị; Thách thức: dư thừa dữ liệu nên không cần AI.,Lợi ích: tự động thay thế lao động nông dân; Thách thức: thiếu đất canh tác.,Lợi ích: kiểm soát hoàn toàn khí hậu; Thách thức: chi phí phân bón cao.,train_fix,1
Ứng dụng nào nổi bật của chip neuromorphic trong y tế?,Giao diện não–máy (BCI) và cấy ghép thần kinh,Tăng tốc Wi-Fi,Phát sóng truyền hình,Blockchain,train_fix,1
"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",0.5,0.7,0.8,0.9,train_fix,1
"Theo Phụ lục III, phương thức kết nối đến Cổng dịch vụ chứng thực chữ ký số công cộng là gì?",GET,POST,PUT,DELETE,train_fix,1
Lợi ích xã hội quan trọng khi phát triển pin natri-ion?,"Giảm phụ thuộc vào lithium và cobalt, ổn định chuỗi cung ứng",Tăng giá thành năng lượng,Giảm tuổi thọ thiết bị,Tăng phát thải CO₂,train_fix,1
"Theo tài liệu Public_058, theo mô hình biểu đồ Venn, thiết kế kiểm chứng nên rơi vào miền nào nhiều nhất?",Miền 1,Miền 4,Miền 3,Miền 7,train_fix,1
"Nếu robot ở trạng thái st nhận phần thưởng tức thời rt = 5, hằng số chiết khấu γ = 0.9, và giá trị Q kỳ vọng của trạng thái kế tiếp là 10, thì giá trị cập nhật Q mới theo Q-Learning sẽ là bao nhiêu (giả sử Q cũ = 0)?",5,14,15,9,train_fix,1
Các thuật ngữ thường dùng của MongoDB,"_ID, Document, Collection và Database",Collection và Database,_ID và Document,Chưa có thuật ngữ rõ ràng,train_fix,1
"Theo tài liệu Public_198, GNIP (Mạng lưới đồng vị trong lượng mưa toàn cầu) có vai trò gì trong ứng dụng AI kết hợp kỹ thuật hạt nhân?","Cung cấp bộ dữ liệu đồng vị toàn diện, hỗ trợ AI giải thích các mô hình thủy văn và biến đổi khí hậu.",Lưu trữ hồ sơ bệnh án y tế toàn cầu để AI phân tích.,Tạo ra mô phỏng plasma trong lò phản ứng nhiệt hạch.,Tự động kiểm soát bức xạ trong các cơ sở hạt nhân.,train_fix,1
"Trong bài toán Ngày kế tiếp, sự phân bố của những loại thực thể nào thường gây ra vấn đề, và liệu việc xác định một thực thể có phụ thuộc vào các thực thể khác không?",Ngày 31. Có,Tháng nhuận âm lịch. Có,Năm nhuận. Không,Ngày 30. Không,train_fix,1
"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",Đặc trưng của những từ gần cuối câu,Tổng hợp tần suất các từ trong câu input,Tổng trọng số các embedding của từ trong câu input,Ngữ nghĩa của câu đầu vào,train_fix,1
Các thành phần nào thuộc cơ chế Lighten Cross-Attention (LCA)?,Cross Residual Block và Edge Loss,Intensity Enhance Layer và Gradient Block,Color Denoise Layer và Perceptual Loss,"Cross Attention Block, Intensity Enhance Layer, Color Denoise Layer",train_fix,1
Cổng nào trong GRU quyết định mức độ ảnh hưởng của trạng thái trước đó lên trạng thái mới?,Cổng cập nhật (update gate),Cổng đầu vào (input gate),Cổng xoá bỏ (reset gate),Cổng đầu ra (output gate),train_fix,1
Điểm chung của các chuẩn đo lường cơ bản trong hệ SI là:,"Được chọn dựa trên các hiện tượng tự nhiên ổn định, tái tạo được ở mọi nơi","Phụ thuộc vào điều kiện địa phương (kinh tuyến, vĩ độ)",Do mỗi quốc gia tự quy định,Chỉ áp dụng cho các thí nghiệm trong phòng thí nghiệm,train_fix,1
Mô tả chi tiết ưu điểm của Kafka về tính mã nguồn mở và khả năng xử lý dữ liệu lớn.,"1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn đóng, có nghĩa là mọi người đều không thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng lớn thông tin một cách liên tục mà gần như không cần thời gian chờ, giúp các ứng dụng có thể xử lý dữ liệu với tốc độ cao và đáp ứng được yêu cầu về hiệu suất.","1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn mở, có nghĩa là mọi người đều có thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu của họ mà không cần phải lo lắng về các hạn chế cấp phép.
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng ít thông tin một cách ngắt quãng ","1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn mở, có nghĩa là mọi người đều không thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu của họ
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng lớn thông tin một cách liên tục nhưng cần thời gian chờ","1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn mở, có nghĩa là mọi người đều có thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu của họ mà không cần phải lo lắng về các hạn chế cấp phép.
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng lớn thông tin một cách liên tục mà gần như không cần thời gian chờ, giúp các ứng dụng có thể xử lý dữ liệu với tốc độ cao và đáp ứng được yêu cầu về hiệu suất.",train_fix,1
Nội dung chính của tài liệu Public_034 là gì?,Lịch sử phát triển của ngành quang điện tử,"Giới thiệu photodiode, phototransistor, optocoupler: cấu tạo, nguyên lý, ứng dụng",Các phương pháp sản xuất linh kiện bán dẫn,Hướng dẫn thực hành đo lường quang điện tử,train_fix,1
